basa_loma,basa_lemes_1,basa_lemes_2,indonesia
babatang,mayit,layon,jenazah
babaturan,réréncangan,réréncangan,teman
baca,aos,aos,baca
badag,ageung,ageung,besar
badami,badanten,badanten,bermusyawarah
badan,badan,salira,badan
badarat,badarat,nyacat,mendarat
badéga,réncang,réncang,kawan
baé,"sawios, teu sawios, wios","sawios, teu sawios, wios",tidak apa-apa
baganti,bagentos,bagentos,berganti
bagéa,haturan,haturan,"selamat, silahkan"
bagéan,bagéan,hancengan,bagian
bageur,bageur,saé manah,baik
bagilir,bagentos,bagentos,bergilir
baheula,kapungkur,kapungkur,dahulu
baju,baju,"anggéan,anggoan, raksukan",pakaian
bakal,"badé, seja","badé, seja",akan
bakti,baktos,baktos,bakti
balik,wangsul,mulih,pulang
balur,balur,"lulur, pupur","teman, handai"
bangga,"abot, sesah","abot, sesah",susah
bangun,bangun,sapertos,seperti
bantu,bantu,bantos,bantu
bapa,(pun) bapa,(tuang) rama,"ayah, bapak"
baraya,"réréhan, sadérék",wargi,saudara
barempug,barempug,barempag,bermusyawarah
bareng,sareng,sareng,bersama
baréto,kapungkur,kapungkur,dahulu
basa,"nalika, waktos","nalika, waktos",waktu
batuk,batuk,gohgoy,batuk
batur,réncang,réncang,teman
bawa,bantun,candak,bawa
bawirasa,"bawiraos, ku émutan","bawiraos, ku émutan",meskipun
béak,séép,séép,habis
bébéja,"nyanggem, popoyan, unjukan, wawartos","nyarios, pupulih, unjukan, wawartos","kabar, mengabari"
béda,bénten,bénten,beda
begang,begang,"langsip, langsit",kurus
begéng,begang,"langsip, langsit",kurus
béja,wartos,wartos,"kabar, mengabari"
belah,palih,palih,sebelah
bendo,bendo,udeng,blangkon
bener,leres,leres,betul
bengék,asma,ampeg,asma
béré,pasihan,"haturan(an), lélér, paparin",memberi
berekah,"aya hibar, pangésto, pangéstu","damang, wilujeng",sehat
bésan,bésan,warang,besan
beubeur,"beubeur, sabuk",beulitan,sabuk
beuheung,beuheung,tenggek,leher
beuki,seneng,sedep,suka
beulah,palih,palih,sebelah
beulah (Jadi 2),beulah,beulah,belah
beuli,pésér,galeuh,beli
beunang,kénging,kénging,dapat
beungeut,beungeut,"pameunteu, raray",wajah
beurang,siang,siang,siang
beurat,abot,abot,berat
beuteung,"beuteung, padaharan","lambut, patuangan",perut
bibi,(pun) bibi,(tuang) ibu,bibi
bijil,medal,medal,keluar
bikeun,"paparinkeun, pasihkeun","haturkeun, lélérkeun, sanggakeun",memberikan
bilang,étang,étang,menghitung
bingung,éwed,éwed,bingung
bireungeuh,"bireungeuh, tingal",tingali,melihat
birit,"birit, bujur",imbit,pantat
bisa,tiasa,iasa,bisa
bisa jadi,tiasa janten,tiasa janten,bisa jadi
bisi,bilih,bilih,mungkin
bisul,bisul,gambuh,bisul
bitis,bitis,wentis,betis
biwir,biwir,"lambé, lambey",bibir
boa,tiasa janten,tiasa janten,bisa jadi
boga,gaduh,kagungan,punya
bolonan,"kareseban, udur sasih",kareseban,haid
boro,bujeng,bujeng,kesampaian
boro-boro,bujeng-bujeng,bujeng-bujeng,jangankan
buang,piceun,beuratan,buang
bubuang,miceun,kabeuratan,membuang
budak,budak,murangkalih,anak kecil
bujal,bujal,"udel, puser",pusar
bujur,"birit, bujur",imbit,pantat
buka (puasa),buka,bobor,buka puasa
bukti,buktos,buktos,bukti
bulan,sasih,sasih,bulan
bulan puasa,sasih siam,sasih siam,bulan puasa
bungah,bingah,bingah,"senang, gembira"
bungsu,bungsu,putra pangalitna,bungsu
burit,sonten,sonten,sore
buru,"buru, énggal","buru, énggal",lekas
butuh,peryogi,peryogi,butuh
buuk,buuk,rambut,rambut
cabak,cabak,cepeng,memegang
cacangkir,cacangkir,tangkepan,cangkir
cageur,"pangésto, pangéstu",damang,sehat
calana,calana,lancingan,celana
can,teu acan,teu acan,belum
candung,wayuh,wayuh,dimadu
caneut,caneut,leueut,makan
cangkéng,cangkéng,angkéng,pinggang
cangkeul,cangkeul,pegel,pegal
cangkir,cangkir,tangkep,cangkir
capé,capé,palay,lelah
cara,sapertos,sapertos,seperti
caram,"carék, caram",wagel,memarahi
carang,"awis, awis-awis","awis, awis-awis",jarang
carécét,saputangan,salempay,saputangan
carék,"carék, caram",wagel,memarahi
carékan,carékan,seuseulan,memarahi
carita,sanggem,carios,"berbicara, bercerita"
caritaan,sanggeman,cariosan,pembicaraan
cécéwok,"obéh, ombéh","obéh, ombéh",cebok
cekel,cekel,cepeng,memegang
celuk,saur,gentra,memanggil
cenah,cenah,saurna,katanya
ceuk,sanggem,saur,katanya
ceuli,ceuli,cepil,telinga
ceurik,ceurik,"nangis, tangis",menangis
cici,cici,pair,menuangkan
cicing,"calik, matuh","calik, linggih",diam
ciduh,ciduh,ludah,ludah
cik,cobi,cobi,mencoba
cikal,cikal,putra pangageungna,anak sulung
cikiih,cikahampangan,cikahampangan,air kencing
ciling,jamban,jamban,"jamban, toilet"
cing,cobi,cobi,mencoba
cipanon,cipanon,cisoca,air mata
ciri,tawis,tawis,ciri
cium,cium,ambung,mencium
coba,cobi,cobi,mencoba
cocoba,cocobi,cocobi,mencoba
cokot,bantun,candak,mengambil
cukup,cekap,cekap,cukup
cukur,cukur,paras,cukur
cumpon,"caos, cumpon",caos,penuh
cunduk,dongkap,"rawuh, sumping",datang
daék,purun,kersa,mau
dagang,dagang,icalan,dagang
dago,antos,antos,tunggu
dahar,"neda, teda",tuang,makan
dangdan,dangdan,dangdos,dandan
dapur,dapur,pawon,dapur
datang,dongkap,"rawuh, sumping",datang
déngé,kuping,dangu,mendengar
deukeut,caket,caket,dekat
deungen,réncang,réncang,lauk
deungeun-deungeun,(nu) sanés,(nu) sanés,"orang lain, bukan saudara"
déwék,"abdi, sim kuring",–,saya
diangir,dikuramas,dikujamas,dikeramas
diangkir,"diondang, disaur","disaur, diulem",diundang
dicukur,dicukur,diparas,dicukur
didik,atik,"tutur, wejang, wuruk",mendidik
didikan,atikan,"pitutur, piwejang, piwuruk",didikan
digusar,digusar,dipeper,disunat
dikubur,dikaluat,dikurebkeun,dikubur
dilétak,dilétak,diilat,dijilat
dipalar,dipalar,"dipambrih, dipamrih",diharapkan
dipaparah,dikinten-kinten,dikinten-kinten,dikira-dikira
diri,diri,salira,diri sendiri
disalin,(di)salin,(di)gentos,diganti
ditaranjang,ditaranjang,diwuwuda,telanjang
diuk,diuk,"calik, linggih",duduk
dosa,kalelepatan,kalelepatan,dosa
dubur,dubur,palawangan,dubur
dudukuy,"dudukuy, topi","langgukan, tudung",topi
duga,kinten,kinten,duga
duit,artos,artos,"duit, uang"
dulur,"réréhan, sadérék",wargi,saudara
duméh,"jalaran, (ku) margi","(ku) margi, réh(ing)",karena
éléh,éleh,kawon,kalah
éling,émut,émut,ingat
emang,(pun) paman,(tuang) rama,paman
émboh,tambih,tambih,tambah
embung,"alim, narah (awéwé)","alim, teu kersa",tidak mau
emét,kedik,kedik,sedikit
encan,teu acan,teu acan,belum
endeng,lami,paos,lama
éndong,éndong,kulem,menginap
enggeus,"atos, parantos, réngsé","atos, parantos",sudah
enggon,pamondokan,"pajuaran, pangkuleman",penginapan
entong,teu kénging,teu kénging,tidak boleh
enya,"leres, muhun, sumuhun, yaktos","leres, muhun, sumuhun, yaktos",iya
enya-enya,leres-leres,leres-leres,benar-benar
éra,isin,lingsem,malu
éstu,ésto,ésto,mengindahkan
eukeur,nuju,nuju,sedang
eungap,sesek,ampeg,sesak
eusi,lebetan,lebetan,isi
eusian,lebetan,lebetan,isinya
euweuh,teu aya,teu aya,tidak ada
gado,gado,angkeut,makan tanpa lauk
gagancangan,énggal-énggalan,énggal-énggalan,cepat-cepat
gampang,gampil,gampil,mudah
gancang,énggal,énggal,cepat
gancangan,énggalan,énggalan,lebih cepat
gandék,réncang,réncang,teman
gandéng,baribin,baribin,berisik
ganti,gentos,gentos,ganti
gardéng,gardéng,lalangsé,abar
gawé,damel,damel,kerja
gedé,ageung,ageung,besar
gégél,gégél,landep,gigit
gelung,gelung,sanggul,sanggul
genah,raos,raos,enak
gering,udur,teu damang,sakit
gering parna,udur répot,teu damang wales,sakit parah
gero,saur,gentra,panggil
getol,kersaan,kersaan,rajin
geuing,émutan,émutan,mengingatkan
geulang,geulang,pinggel,gelang
geura,"geura, mangga",mangga,"baiklah, silahkan"
geus,"atos, parantos, réngsé","atos, parantos",sudah
geuwat,"énggal, énggal-énggal","énggal, énggal-énggal",cepat
gigir,gigir,gédéng,"sebelah, samping"
gigireun,gigireun,gédéngeun,"sebelah, samping"
gilir,gilir,gentos,berganti
gimir,gimir,rentag manah,jerih
goda,cobi,cobi,goda
gogoda,cocobi,cocobi,godaan
goréng,"awon, teu saé","awon, teu saé",jelek
gugu,tumut,tumut,patuh
guguling,guguling,pepedek,guling
gumbira,bingah,bingah,gembira
gura-giru,gura-giru,énggal-énggalan,"segera, cepat-cepat"
gusar,gusar,peper,menyapukan tangan
haben,haben,teras-terasan,terus-terusan
hadé,saé,saé,"baik, bagus"
hadir,"tungkulan, nungkulan",(nga)luuhan,menghadiri
hal,perkawis,perkawis,hal
halangan,pambengan,pambengan,halangan
halis,halis,kening,alis
hampura,hapunten,"haksama, haksami, hapunten",maaf
handeueul,gegetun,gegetun,sayang sekali
hanjakal,gegetun,gegetun,sayang sekali
harega,pangaos,pangaos,harga
hareup,payun,payun,depan
harga,pangaos,pangaos,harga
harita,waktos éta,waktos éta,waktu itu
hariwang,salempang,"rejag manah, salempang",khawatir
harti,hartos,hartos,arti
haté,haté,"manah, galih",hati
hawatir,hawatos,hawatos,khawatir
hayang,hoyong,palay,mau
hayu,mangga,mangga,"ayo, silahkan"
héd,"kareseban, udur sasih",kareseban,haid
hég,"geura, mangga",mangga,silahkan
hélok,hémeng,hémeng,heran
héran,hémeng,hémeng,heran
hésé,sesah,sesah,susah
heuay,heuay,angob,menguap
heubeul,lami,lami,lama
heug,mangga,mangga,"baiklah, silahkan"
hili,liron,gentos,tukar
hina,laip,laip,aib
hirup,hirup,jumeneng,hidup
hitut,"bobos, kabobosan","bobos, kabobosan",kentut
hudang,hudang,gugah,bangun
huntu,huntu,waos,gigi
hutang,"piétangan, sambetan","piétangan, sambetan",hutang
iber,wartos,wartos,berita
idin,widi,widi,izin
igel,ibing,ibing,"menari, joget"
iket,"iket, totopong","totopong, udeng",blangkon
ilik,tingal,tingali,melihat
ilikan,tingalan,tingalian,melihat
ilu,iring,iring,ikut
imah,rorompok,bumi,rumah
impi,impén,impén,mimpi
imut,imut,mésem,tersenyum
incu,(pun) incu,(tuang) putu,cucu
indit,mios,"angkat, jengkar",pergi
indung,(pun) biang,(tuang) ibu,ibu
inget,émut,émut,ingat
inggis,rémpan,rémpan,takut
injeum,tambut,tambut,pinjam
inum,leueut,leueut,minum
irung,irung,pangambung,hidung
isuk,"énjing, énjing-énjing","énjing, énjing-énjing",pagi
isukan,énjing,énjing,besok
isuk-isuk,"énjing, énjing-énjing","énjing, énjing-énjing",pagi
iteuk,iteuk,teteken,tongkat
itung,itung,étang,menghitung
iwal,"anging, (ka)jabi","anging, (ka)jabi",kecuali
jaba,"anging, (ka)jabi","anging, (ka)jabi",luar
jadi,janten,janten,jadi
jaga,jagi,jagi,jaga
jajaka,nonoman,nonoman,perjaka
jalma,jalmi,jalmi,manusia
jang,kanggo,"haturan, kanggo",untuk
jauh,tebih,tebih,jauh
jawab,walon,waler,jawab
jelema,jalmi,jalmi,manusia
jero,lebet,lebet,dalam
jeung,"miwah, sareng","miwah, sareng",dan
jeungna deui,sareng deui,sareng deui,bersama lagi
jieun,damel,damel,membuat
jiga,sapertos,"sakarupi, sapertos, sarupi",seperti
jima,sapatemon,"sapatemon, saresmi",berhubungan intim
jinah,jinah,ngalambang sari,zina
joré,goréng,awon,jelek
jual,ical,ical,jual
jugjug,bujeng,bujeng,tiba-tiba
juru,lahir,babar,melahirkan
jurung,jurung,piwarang,memberitahu
kabar,wartos,wartos,kabar
kabéh,sadaya,sadaya,semua
kabéhanana,sadayana,sadayana,semuanya
kabur,minggat,(nga)lolos,kabur
kaburu,kabujeng,kabujeng,terlanjur
kacamata,kacasoca,kacasoca,kacamata
kacaritakeun,kacaritakeun,kacaritakeun,diceritakan
kacida,kalintang,"kalintang, teu kinten",sangat
kaciri,katawis,katawis,dikenali
kadang,wargi,wargi,saudara
kadang warga,kadang wargi,wargi-wargi sadayana,saudara sekalian
kadé,ati-ati,atos-atos,hati-hati
kadudukan,kadudukan,kalungguhan,kedudukan
kagegeringan,kaleleban,kaleleban,sakit
kagok,(ka)pambeng,(ka)pambeng,tanggung
kajaba,kajabi,kajabi,kecuali
kajeun,"sawios, teu sawios, wios","sawios, teu sawios, wios",biarkan
kakara,nembé,nembé,baru saja
kakus,jamban,jamban,"jamban, toilet"
kalan-kalan,sawaktos-waktos,sawaktos-waktos,sewaktu-waktu
kalarung,kalangkung,kalangkung,terlewat
kalenger,kapiuhan,kapidara,pingsan
kamar,pamondokan,"pajuaran, pangkuleman",kamar
kamar mandi,jamban,jamban,"jamban, toilet"
kanyeri,kanyeri,kasawat,sakit
kapaéhan,kapiuhan,kapidara,pingsan
kapalang,(ka)pambeng,(ka)pambeng,tanggung
kapegat,kapegat,kaandeg,tercegat
kapilih,kapeto,kaselir,terpilih
karasa,karaos,karaos,terasa
karék,nembé,nembé,baru saja
karémbong,karémbong,kekemben,selempang
karesep,karesep,"kalangen, kaseneng, kasedep","yang disukai, hobi"
kari,kantun,kantun,sisa
karunya,hawatos,hawatos,kasihan
kasakit,kasakit,kasawat,sakit
kasanding,kasanding,kasumpingan,kedatangan
kasurupan,kasarumahan,kacalikan,kesurupan
katangén,katangén,kauninga,ketahuan
katara,katawis,katawis,terlihat
katuhu,katuhu,tengen,kanan
kawantu,kawantos,kawantos,keberanian
kawas,sapertos,"sakarupi, sapertos, sarupi",seperti
kawilang,kaétang,kaétang,kehitung
kawin,"jatukrami, ngadahup, nikah, réndéngan","jatukrami, ngadahup, nikah, réndéngan",nikah
kédé,kénca,kiwa,kiri
kedeng,kedeng,ébog,berbaring
kéjo,sangu,sangu,nasi
kélék,kélék,"déhé, ingkab",ketiak
kénca,kénca,kiwa,kiri
keris,duhung,duhung,keris
késang,késang,karinget,keringat
keun baé,"sawios, teu sawios, wios","sawios, teu sawios, wios",biarkan saja
keur,nuju,nuju,sedang
keur (pikeun),kanggo,"haturan, kanggo",untuk
kiih,kahampangan,kahampangan,kencing
kira,kinten,kinten,mengira
kira-kira,kinten-kinten,kinten-kinten,kira-kira
kirim,kintun,kintun,kirim
kocap,kacaritakeun,kacaritakeun,terceritakan
kocapkeun,kacaritakeun,kacaritakeun,terceritakan
kolot,kolot,sepuh,tua
komo,sumawonten,sumawonten,bahkan
kongkorong,kongkorong,kangkalung,kalung
kop,mangga,mangga,silahkan
kotoran,"kareseban, udur sasih",kareseban,haid
kuat,kiat,kiat,kuat
kubur,kaluat,kureb,mengubur
kudu,kedah,kedah,harus
kuku,kuku,tanggay,kuku
kukumbah,wawasuh,wawasuh,mencuci
kulawarga,kulawargi,kulawargi,saudara sekalian
kuluwut,"nguluwut, nguyung",ngangluh,murung
kumbah,kumbah,wasuh,mencuci
kumis,kumis,rumbah,kumis
kumpul,kempel,kempel,kumpul
kungsi,kantos,kantos,pernah
kurang,kirang,kirang,kurang
kuren,rimbit,rimbit,berkeluarga
kurenan,rimbitan,rimbitan,kekeluargaan
kuring,"abdi, sim kuring",–,saya
kuring saréréa,abdi sadayana,–,kita semua
kuru,begang,"langsip, langsit",kurus
kutu,kutu,puntang,kutu
labuh,labuh,geubis,jatuh
lahun,pangkon,pangkon,pangku
lain,sanés,sanés,bukan
laju,"lajeng, teras","lajeng, teras",terus-terusan
laki,lalaki,pameget,laki-laki
laku,pajeng,pajeng,laku
lalajo,nongton,nongton,"melihat, nonton"
lalaki,lalaki,pameget,lelaki
lamun,upami,upami,kalau
lanceuk,(pun) lanceuk,(tuang) raka,kakak
langka,"awis, awis-awis","awis, awis-awis",langka
lantaran,"jalaran, (ku) margi","(ku) margi, réh(ing)",sebab
lapar,"hoyong neda, lapar",palay tuang,lapar
laris,pajeng,pajeng,laris
larung,langkung,langkung,terlewati
laun,lami,lami,lambat
laun-laun,lami-lami,lami-lami,lambat laun
lawas,lami,lami,lama
lebah,leresan,leresan,"sebelah, samping"
lebaran,boboran (siam),boboran (siam),lebaran
lého,umbel,umbel,ingus
léngoh,"léngoh, teu ngabantun nanaon",teu nyandak nanaon,tidak membawa apa-apa
létah,létah,ilat,lidah
létak,létak,ilat,jilat
leumpang,leumpang,angkat,"jalan kaki, berangkat"
leungeun,leungeun,panangan,tangan
leungit,leungi,ical,hilang
leutik,alit,alit,kecil
leuwih,langkung,langkung,lebih
leuwih hadé,langkung saé,langkung saé,lebih baik
lila,lami,lami,lama
liwat,langkung,langkung,lewat
loba,seueur,seueur,banyak
luput,lepat,lepat,luput
maap,hapunten,"haksama, haksami, hapunten",maaf
maca,maca,maos,baca
magahan,mapagahan,"miwejang, ngawurukan",menasehati
mahal,awis,awis,mahal
mahi,cekap,cekap,"muat, cukup"
maju,majeng,majeng,maju
maké,nganggo,nganggo,memakai
maksud,maksad,maksad,maksud
malah,malih,malih,malah
malahmandar,mamanawian,mamanawian,mudah-mudahan
malarat,jalmi teu gaduh,teu kagungan nanaon,miskin
malem,wengi,wengi,malam
malik,malik,mayun,"menghadap, berbalik"
maliré,maliré,merhatoskeun,memperhatikan
mamayu,mamayu,mamajeng,nafsu makan setelah sembuh
mandéan,mandéan,"mapadani, nyamian",menyamai
mandi,mandi,"siram, ngebak",mandi
manéh,–,"anjeun, salira",kamu
manéhna,–,anjeunna,kamunya
manggih,mendak,mendak,bertemu
mangka,mugi,mugi(a),semoga
mangku,mangku,mangkon,memangku
mangkuk,kantos,kantos,"sudah, pernah"
maot,"nilar, tilar dunya, ngantunkeun",pupus,meninggal
mapagahan,mapagahan,"miwejang, ngawurukan",menasehati
marak,marak,munday,marak
marga,"jalaran, (ku) margi","(ku) margi, réh(ing)",dikira
marhum,"jenatna, marhum","marhum, suargi, suwargi",telah meninggal
mariksa,mariksa,marios,memeriksa
marukanana,pangintenna,pangintenna,kemungkinan
matuh,matuh,linggih,patuh
mawa,ngabantun,nyandak,bawa
mayit,layon,layon,jenazah
mecak,nyobi,nyobi,mencoba
megat,megat,ngandeg,mencegat
melang,deudeupeun,deudeupeun,khawatir
méméh,sateuacan,sateuacan,sebelum
mencét,meuseul,meuseul,pijat
mencétan,meuseulan,meuseulan,memijat
mending,langkung saé,langkung saé,lebih baik
menerkeun,ngalereskeun,ngalereskeun,memperbaiki
mengi,asma,ampeg,asma
ménta,"neda, nyuhunkeun",mundut,minta
méré,masihan,"maparin, ngahaturan(an), ngalélér",memberi
meujeuhna,cekap,cekap,layak
meuli,mésér,ngagaleuh,beli
meunang,kénging,kénging,dapat
meureun,panginten,panginten,barangkali
miang,mios,"angkat, jengkar",meminta izin
mihapé,ngawiat,ngawewerat(an),titip
mikeun,"maparinkeun, masihkeun","ngahaturkeun, nyanggakeun",memberikan
milang,ngétang,ngétang,menghitung
milu,ngiring,ngiring,ikut
mimiti,kawit,"awit, kawit",memulai
mimitina,kawitna,"awitna, kawitna",mulanya
minangka,étang-étang,étang-étang,sebagai
minantu,minantu,mantu,menantu
mindeng,sering,sering,sering
minggat,minggat,(nga)lolos,minggat
minyak,lisah,lisah,minyak
mireungeuh,"mireungeuh, ningal",ningali,melihat
miskin,jalmi teu gaduh,teu kagungan nanaon,miskin
mitoha,mitoha,mertua,mertua
montok,montok,ageung,gemuk
moro,moro,bubujeng,"mengejar, memburu"
muga,mugi,mugi(a),semoga
muga-muga,mugi-mugi,mugi-mugi,semoga
mulang,wangsul,mulih,kembalian
mun,upami,upami,kalau
mungguh,menggah,menggah(ing),kalau
mupakat,"mupakat, rempug",rempag,"berunding, setuju"
murah,mirah,mirah,murah
muriang,muriang,nyenyepan,"meriang, panas dingin"
muru,ngabujeng,ngabujeng,mengejar
najan,sanaos,sanaos,walaupun
naker,kalintang,"kalintang, teu kinten",sangat
naksir,nginten,nginten,menaksir
nandatangan,nandatangan,nawis,menandatangani
nangtung,nangtung,ngadeg,berdiri
nanya,naros,naros,bertanya
naséhat,"naséhat, papatah","piwejang, piwuruk",nasehat
nataku,kalintang,"kalintang, teu kinten",sangat
nawar,nawis,mundut,menawar
néang,milari,milari,mencari
nedunan,"nyaosan, nyumponan",nyaosan,kedatangan
nembang,nembang,mamaos,menyanyi
nénjo,ningal,ningali,melihat
nepi,dugi,dugi,hingga
ngadagoan,ngantosan,ngantosan,menunggu
ngadéngé,nguping,ngadangu,mendengar
ngadidik,ngatik,"mitutur, miwejang, miwuruk, ngawuruk(an)",mendidik
ngadu,ngadu,ngaben,mengadu
ngageroan,nyauran,ngagentraan,memanggil
ngageuing,ngageuing,ngémutan,menasehati
ngagugu,nurut,tumut,penurut
ngahadéan (ngalusan),nyaéan,nyaéan,memperindah
ngahadéan (ngoméan),ngalereskeun,ngalereskeun,memperbaiki
ngahadiran,nungkulan,ngaluuhan,menghadiri
ngahalang-halang,magak,magak,menghalangi
ngahilian,ngalironan,ngagentosan,"menukar, mengganti"
ngais,ngais,ngemban,menggendong
ngajar,ngajar,ngawulang,mengajar
ngajawab,ngawalon,ngawaler,menjawa
ngaji,ngaji,ngaos,mengaji
ngajual,ngical,ngical,menjual
ngajugjug,ngabujeng,ngabujeng,tiba-tiba
ngajuru,ngalahirkeun,babar,melahirkan
ngaku,ngaku,ngangken,mengaku
ngalahun,mangkon,mangkon,memangku
ngalusan,ngalereskeun,ngalereskeun,memperbaiki
ngambeu,ngambeu,ngambung,mencium
ngan,"mung, namung","mung, namung",hanya
nganjang,ngadeuheus,natamu,mendatangi
nganteur,ngajajap(keun),"nyarengan, nyarengkeun",mengantarkan
nganti,ngantos,ngantos,menunggu
ngaran,"nami, wasta","jenengan, kakasih",nama
ngaranyéd,ngaranyéd,ngalambang sari,selingkuh
ngarep-ngarep,ngajeng-ngajeng,ngajeng-ngajeng,berharap
ngaroko,"ngaroko, udud","ngalelet, nyesep",merokok
ngaso,ngaso,leleson,beristirahat
ngawaro,tumut,tumut,patuh
ngedeng,ngedeng,ébog,berbaring
ngéndahkeun,"ngéstokeun, nurut",ngéstokeun,menyelesaikan
ngéndong,"mondok, ngéndong","kulem, ngawengi",mondok
ngéstukeun,"ngéstokeun, nurut","ngéstokeun, tumut",mengindahkan
ngeunah,raos,raos,enak
ngeusian,ngalebetan,ngalebetan,mengisi
ngéwa,ceuceub,ceuceub,malu
ngigel,ngigel,ngibing,"joget, menari"
ngilikan,ningalan,ningalian,melihat
ngilu,ngiring,ngiring,ikut
ngimpi,ngimpén,ngimpén,mimpi
nginjeum,nambut,nambut,pinjam
nginum,ngaleueut,ngaleueut,minum
ngira,nginten,nginten,mengira
ngising,miceun,kabeuratan,buang air besar
ngitung,ngitung,ngétang,menghitung
ngogan,ngondang,ngulem,mengundang
ngoméan,ngalereskeun,ngalereskeun,memperbaiki
ngomong,nyanggem,nyarios,bicara
ngora,anom,anom,muda
ngubur,ngaluat,ngurebkeun,mengubur
nguluwut,"nguluwut, nguyung",ngangluh,murung
ngumbah,ngumbah,ngawasuh,mencuci
nguruskeun,ngalereskeun,ngalereskeun,mengurusi
nguyung,"nguluwut, nguyung",ngangluh,murung
nimu,mendak,mendak,menemukan
nincak,nincak,ngadampal,menginjak
nini,(pun) nini,(tuang) éyang,nenek
nitah,ngajurung(an),miwarang(an),menyuruh
nohonan,"nyaosan, nyumponan",nyaosan,mencukupi
nu matak,nu mawi,nu mawi,maka dari itu
nungkulan,nungkulan,ngaluuhan,"mengatasi, menunduk"
nurut,"ngéstokeun, nurut","ngéstokeun, tumut",ikut
nutu,nutu,meuseul,menumbuk
nyaba,nyaba,angkat-angkatan,bepergian
nyabak,nyabak,nyepeng,memegang
nyaho,terang,uninga,mengetahui
nyampak,nyampak,"kasondong, nyondong",terlihat
nyana,nginten,nginten,menyangka
nyaneut,ngaleueut,ngaleueut,makan
nyangka,nginten,nginten,memperkirakan
nyaram,"nyaram, nyarék",ngawagel,melarang
nyarék,"nyaram, nyarék",ngawagel,melarang
nyarékan,nyarékan,nyeuseul(an),memarahi
nyaring,"nyaring, teu acan mondok",teu acan kulem,nyaring
nyarita,nyanggem,nyarios,bicara
nyekel,nyekel,nyepeng,memegang
nyéléhkeun,masrahkeun,"ngahaturkeun, nyanggakeun",memberikan
nyéléwer,midua haté,midua manah,selingkuh
nyeluk,nyauran,ngagentraan,memanggil
nyepah,nyeupah,ngalemar,"memakan sirih, sirih"
nyerahkeun,mirak,"mirak, ngésér",menceraikan
nyeri,nyeri,kasawat,sakit
nyeupah,nyeupah,ngalemar,"memakan sirih, sirih"
nyiar,milari,milari,mencari
nyician,nyician,mairan,menuangkan
nyium,nyium,ngambung,mencium
nyoba,nyobi,nyobi,mencoba
nyokot,ngabantun,nyandak,mengambil
nyolowédor,nyolowédor,midua manah,selingkuh
nyukuran,nganuhunkeun,nganuhunkeun,berterima kash
nyumponan,nyumponan,nyaosan,mencukupi
nyunatan,ngaberesihan,nyepitan,khitan
obat,"obat, ubar",landong,obat
ogan,ondang,ulem,undang
oléh-oléh,"kaémutan, kagegelan","kaémutan, kagegelan",oleh-oleh
omé,leres,leres,memperbaiki
omong,sanggem,"carios, lahir",bicara
omongan,sanggeman,"cariosan, lahiran",pembicaraan
ondang,"ulem, haturanan calik","ulem, haturanan calik",undangan
pacilingan,jamban,jamban,"jamban, toilet"
paéh,"nilar, tilar dunya, ngantunkeun",pupus,meninggal
paham,"paham, ngartos",ngartos,mengerti
pahili,paliron,pagentos,tertukar
paju,pajeng,pajeng,maju
paké,anggo,anggo,pakai
