sundanese,politeness
ampeg,formal
eusi,casual
lebetan,polite
eusian,casual
lebetan,polite
euweuh,casual
teu aya,polite
gado,casual
gado,polite
angkeut,formal
gagancangan,casual
énggal énggalan,polite
gampang,casual
gampil,polite
gancang,casual
énggal,polite
gancangan,casual
énggalan,polite
gandék,casual
réncang,polite
gandéng,casual
baribin,polite
ganti,casual
gentos,polite
gardéng,casual
gardéng,polite
lalangsé,formal
gawé,casual
damel,polite
gedé,casual
ageung,polite
gégél,casual
gégél,polite
landep,formal
gelung,casual
gelung,polite
sanggul,formal
genah,casual
raos,polite
gering,casual
udur,polite
teu damang,formal
gering parna,casual
udur répot,polite
teu damang wales,formal
gero,casual
saur,polite
gentra,formal
getol,casual
kersaan,polite
geuing,casual
émutan,polite
geulang,casual
geulang,polite
pinggel,formal
geura,casual
geura,polite
mangga,polite
mangga,formal
geus,casual
atos,polite
parantos,polite
réngsé,polite
atos,formal
parantos,formal
geuwat,casual
énggal,polite
énggal énggal,polite
gigir,casual
gigir,polite
gédéng,formal
gigireun,casual
gigireun,polite
gédéngeun,formal
gilir,casual
gilir,polite
gentos,formal
gimir,casual
gimir,polite
rentag manah,formal
goda,casual
cobi,polite
gogoda,casual
cocobi,polite
goréng,casual
awon,polite
teu saé,polite
gugu,casual
tumut,polite
guguling,casual
guguling,polite
pepedek,formal
gumbira,casual
bingah,polite
gura giru,casual
gura giru,polite
énggal énggalan,formal
gusar,casual
gusar,polite
peper,formal
haben,casual
haben,polite
teras terasan,formal
hadé,casual
saé,polite
hadir,casual
tungkulan,polite
nungkulan,polite
ngaluuhan,formal
hal,casual
perkawis,polite
halangan,casual
pambengan,polite
halis,casual
halis,polite
kening,formal
hampura,casual
hapunten,polite
haksama,formal
haksami,formal
hapunten,formal
handeueul,casual
gegetun,polite
hanjakal,casual
gegetun,polite
harega,casual
pangaos,polite
hareup,casual
payun,polite
harga,casual
pangaos,polite
harita,casual
waktos éta,polite
hariwang,casual
salempang,polite
rejag manah,formal
salempang,formal
harti,casual
hartos,polite
haté,casual
haté,polite
manah,formal
galih,formal
hawatir,casual
hawatos,polite
hayang,casual
hoyong,polite
palay,formal
hayu,casual
mangga,polite
héd,casual
kareseban,polite
udur sasih,polite
kareseban,formal
hég,casual
geura,polite
mangga,polite
mangga,formal
hélok,casual
hémeng,polite
héran,casual
hémeng,polite
hésé,casual
sesah,polite
heuay,casual
heuay,polite
angob,formal
heubeul,casual
lami,polite
heug,casual
mangga,polite
hili,casual
liron,polite
gentos,formal
hina,casual
laip,polite
hirup,casual
hirup,polite
jumeneng,formal
hitut,casual
bobos,polite
kabobosan,polite
hudang,casual
hudang,polite
gugah,formal
huntu,casual
huntu,polite
waos,formal
hutang,casual
piétangan,polite
sambetan,polite
iber,casual
wartos,polite
idin,casual
widi,polite
igel,casual
ibing,polite
iket,casual
iket,polite
totopong,polite
totopong,formal
udeng,formal
ilik,casual
tingal,polite
tingali,formal
ilikan,casual
tingalan,polite
tingalian,formal
ilu,casual
iring,polite
imah,casual
rorompok,polite
bumi,formal
impi,casual
impén,polite
imut,casual
imut,polite
mésem,formal
incu,casual
pun incu,polite
tuang putu,formal
indit,casual
mios,polite
angkat,formal
jengkar,formal
indung,casual
pun biang,polite
tuang ibu,formal
inget,casual
émut,polite
inggis,casual
rémpan,polite
injeum,casual
tambut,polite
inum,casual
leueut,polite
irung,casual
irung,polite
pangambung,formal
isuk,casual
énjing,polite
énjing énjing,polite
isukan,casual
énjing,polite
isuk isuk,casual
énjing,polite
énjing énjing,polite
iteuk,casual
iteuk,polite
teteken,formal
itung,casual
itung,polite
étang,formal
iwal,casual
anging,polite
kajabi,polite
jaba,casual
anging,polite
kajabi,polite
jadi,casual
janten,polite
jaga,casual
jagi,polite
jajaka,casual
nonoman,polite
jalma,casual
jalmi,polite
jang,casual
kanggo,polite
haturan,formal
kanggo,formal
jauh,casual
tebih,polite
jawab,casual
walon,polite
waler,formal
jelema,casual
jalmi,polite
jero,casual
lebet,polite
jeung,casual
miwah,polite
sareng,polite
jeungna deui,casual
sareng deui,polite
jieun,casual
damel,polite
jiga,casual
sapertos,polite
sakarupi,formal
sapertos,formal
sarupi,formal
jima,casual
sapatemon,polite
sapatemon,formal
saresmi,formal
jinah,casual
jinah,polite
ngalambang sari,formal
joré,casual
goréng,polite
awon,formal
jual,casual
ical,polite
jugjug,casual
bujeng,polite
juru,casual
lahir,polite
babar,formal
jurung,casual
jurung,polite
piwarang,formal
kabar,casual
wartos,polite
kabéh,casual
sadaya,polite
kabéhanana,casual
sadayana,polite
kabur,casual
minggat,polite
ngalolos,formal
kaburu,casual
kabujeng,polite
kacamata,casual
kacasoca,polite
kacaritakeun,casual
kacaritakeun,polite
kacida,casual
kalintang,polite
kalintang,formal
teu kinten,formal
kaciri,casual
katawis,polite
kadang,casual
wargi,polite
kadang warga,casual
kadang wargi,polite
wargi wargi sadayana,formal
kadé,casual
ati ati,polite
atos atos,formal
kadudukan,casual
kadudukan,polite
kalungguhan,formal
kagegeringan,casual
kaleleban,polite
kagok,casual
kapambeng,polite
kajaba,casual
kajabi,polite
kajeun,casual
sawios,polite
teu sawios,polite
wios,polite
kakara,casual
nembé,polite
kakus,casual
jamban,polite
kalan kalan,casual
sawaktos waktos,polite
kalarung,casual
kalangkung,polite
kalenger,casual
kapiuhan,polite
kapidara,formal
kamar,casual
pamondokan,polite
pajuaran,formal
pangkuleman,formal
kamar mandi,casual
jamban,polite
kanyeri,casual
kanyeri,polite
kasawat,formal
kapaéhan,casual
kapiuhan,polite
kapidara,formal
kapalang,casual
kapambeng,polite
kapegat,casual
kapegat,polite
kaandeg,formal
kapilih,casual
kapeto,polite
kaselir,formal
karasa,casual
karaos,polite
karék,casual
nembé,polite
karémbong,casual
karémbong,polite
kekemben,formal
karesep,casual
karesep,polite
kalangen,formal
kaseneng,formal
kasedep,formal
kari,casual
kantun,polite
karunya,casual
hawatos,polite
kasakit,casual
kasakit,polite
kasawat,formal
kasanding,casual
kasanding,polite
kasumpingan,formal
kasurupan,casual
kasarumahan,polite
kacalikan,formal
katangén,casual
katangén,polite
kauninga,formal
katara,casual
katawis,polite
katuhu,casual
katuhu,polite
tengen,formal
kawantu,casual
kawantos,polite
kawas,casual
sapertos,polite
sakarupi,formal
sapertos,formal
sarupi,formal
kawilang,casual
kaétang,polite
kawin,casual
jatukrami,polite
ngadahup,polite
nikah,polite
réndéngan,polite
kédé,casual
kénca,polite
kiwa,formal
kedeng,casual
kedeng,polite
ébog,formal
kéjo,casual
sangu,polite
kélék,casual
kélék,polite
déhé,formal
ingkab,formal
kénca,casual
kénca,polite
kiwa,formal
keris,casual
duhung,polite
késang,casual
késang,polite
karinget,formal
keun baé,casual
sawios,polite
teu sawios,polite
wios,polite
keur,casual
nuju,polite
keur pikeun,casual
kanggo,polite
haturan,formal
kanggo,formal
kiih,casual
kahampangan,polite
kira,casual
kinten,polite
kira kira,casual
kinten kinten,polite
kirim,casual
kintun,polite
kocap,casual
kacaritakeun,polite
kocapkeun,casual
kacaritakeun,polite
kolot,casual
kolot,polite
sepuh,formal
komo,casual
sumawonten,polite
kongkorong,casual
kongkorong,polite
kangkalung,formal
kop,casual
mangga,polite
kotoran,casual
kareseban,polite
udur sasih,polite
kareseban,formal
kuat,casual
kiat,polite
kubur,casual
kaluat,polite
kureb,formal
kudu,casual
kedah,polite
kuku,casual
kuku,polite
tanggay,formal
kukumbah,casual
wawasuh,polite
kulawarga,casual
kulawargi,polite
kuluwut,casual
nguluwut,polite
nguyung,polite
ngangluh,formal
kumbah,casual
kumbah,polite
wasuh,formal
kumis,casual
kumis,polite
rumbah,formal
kumpul,casual
kempel,polite
kungsi,casual
kantos,polite
kurang,casual
kirang,polite
kuren,casual
rimbit,polite
kurenan,casual
rimbitan,polite
kuring,casual
abdi,polite
sim kuring,polite
kuring saréréa,casual
abdi sadayana,polite
kuru,casual
begang,polite
langsip,formal
langsit,formal
kutu,casual
kutu,polite
puntang,formal
labuh,casual
labuh,polite
geubis,formal
lahun,casual
pangkon,polite
lain,casual
sanés,polite
laju,casual
lajeng,polite
teras,polite
laki,casual
lalaki,polite
pameget,formal
laku,casual
pajeng,polite
lalajo,casual
nongton,polite
lalaki,casual
lalaki,polite
pameget,formal
lamun,casual
upami,polite
lanceuk,casual
pun lanceuk,polite
tuang raka,formal
langka,casual
awis,polite
awis awis,polite
lantaran,casual
jalaran,polite
ku margi,polite
ku margi,formal
réhing,formal
lapar,casual
hoyong neda,polite
lapar,polite
palay tuang,formal
laris,casual
pajeng,polite
larung,casual
langkung,polite
laun,casual
lami,polite
laun laun,casual
lami lami,polite
lawas,casual
lami,polite
lebah,casual
leresan,polite
lebaran,casual
boboran siam,polite
lého,casual
umbel,polite
léngoh,casual
léngoh,polite
teu ngabantun nanaon,polite
teu nyandak nanaon,formal
létah,casual
létah,polite
ilat,formal
létak,casual
létak,polite
ilat,formal
leumpang,casual
leumpang,polite
angkat,formal
leungeun,casual
leungeun,polite
panangan,formal
leungit,casual
leungi,polite
ical,formal
leutik,casual
alit,polite
leuwih,casual
langkung,polite
leuwih hadé,casual
langkung saé,polite
lila,casual
lami,polite
liwat,casual
langkung,polite
loba,casual
seueur,polite
luput,casual
lepat,polite
maap,casual
hapunten,polite
haksama,formal
haksami,formal
hapunten,formal
maca,casual
maca,polite
maos,formal
magahan,casual
mapagahan,polite
miwejang,formal
ngawurukan,formal
mahal,casual
awis,polite
mahi,casual
cekap,polite
maju,casual
majeng,polite
maké,casual
nganggo,polite
maksud,casual
maksad,polite
malah,casual
malih,polite
malahmandar,casual
mamanawian,polite
malarat,casual
jalmi teu gaduh,polite
teu kagungan nanaon,formal
malem,casual
wengi,polite
malik,casual
malik,polite
mayun,formal
maliré,casual
maliré,polite
merhatoskeun,formal
mamayu,casual
mamayu,polite
mamajeng,formal
mandéan,casual
mandéan,polite
mapadani,formal
nyamian,formal
mandi,casual
mandi,polite
siram,formal
ngebak,formal
manéh,casual
anjeun,formal
salira,formal
manéhna,casual
anjeunna,formal
manggih,casual
mendak,polite
mangka,casual
mugi,polite
mugia,formal
mangku,casual
mangku,polite
mangkon,formal
mangkuk,casual
kantos,polite
maot,casual
nilar,polite
tilar dunya,polite
ngantunkeun,polite
pupus,formal
mapagahan,casual
mapagahan,polite
miwejang,formal
ngawurukan,formal
marak,casual
marak,polite
munday,formal
marga,casual
jalaran,polite
ku margi,polite
ku margi,formal
réhing,formal
marhum,casual
jenatna,polite
marhum,polite
marhum,formal
suargi,formal
suwargi,formal
mariksa,casual
mariksa,polite
marios,formal
marukanana,casual
pangintenna,polite
matuh,casual
matuh,polite
linggih,formal
mawa,casual
ngabantun,polite
nyandak,formal
mayit,casual
layon,polite
mecak,casual
nyobi,polite
megat,casual
megat,polite
ngandeg,formal
melang,casual
deudeupeun,polite
méméh,casual
sateuacan,polite
mencét,casual
meuseul,polite
mencétan,casual
meuseulan,polite
mending,casual
langkung saé,polite
menerkeun,casual
ngalereskeun,polite
mengi,casual
asma,polite
ampeg,formal
ménta,casual
neda,polite
nyuhunkeun,polite
mundut,formal
méré,casual
masihan,polite
maparin,formal
ngahaturanan,formal
ngalélér,formal
meujeuhna,casual
cekap,polite
meuli,casual
mésér,polite
ngagaleuh,formal
meunang,casual
kénging,polite
meureun,casual
panginten,polite
miang,casual
mios,polite
angkat,formal
jengkar,formal
mihapé,casual
ngawiat,polite
ngaweweratan,formal
mikeun,casual
maparinkeun,polite
masihkeun,polite
ngahaturkeun,formal
nyanggakeun,formal
milang,casual
ngétang,polite
milu,casual
ngiring,polite
mimiti,casual
kawit,polite
awit,formal
kawit,formal
mimitina,casual
kawitna,polite
awitna,formal
kawitna,formal
minangka,casual
étang étang,polite
minantu,casual
minantu,polite
mantu,formal
mindeng,casual
sering,polite
minggat,casual
minggat,polite
ngalolos,formal
minyak,casual
lisah,polite
mireungeuh,casual
mireungeuh,polite
ningal,polite
ningali,formal
miskin,casual
jalmi teu gaduh,polite
teu kagungan nanaon,formal
mitoha,casual
mitoha,polite
mertua,formal
montok,casual
montok,polite
ageung,formal
moro,casual
moro,polite
bubujeng,formal
muga,casual
mugi,polite
mugia,formal
muga muga,casual
mugi mugi,polite
mulang,casual
wangsul,polite
mulih,formal
mun,casual
upami,polite
mungguh,casual
menggah,polite
menggahing,formal
mupakat,casual
mupakat,polite
rempug,polite
rempag,formal
murah,casual
mirah,polite
muriang,casual
muriang,polite
nyenyepan,formal
muru,casual
ngabujeng,polite
najan,casual
sanaos,polite
naker,casual
kalintang,polite
kalintang,formal
teu kinten,formal
naksir,casual
nginten,polite
nandatangan,casual
nandatangan,polite
nawis,formal
nangtung,casual
nangtung,polite
ngadeg,formal
nanya,casual
naros,polite
naséhat,casual
naséhat,polite
papatah,polite
piwejang,formal
piwuruk,formal
nataku,casual
kalintang,polite
kalintang,formal
teu kinten,formal
nawar,casual
nawis,polite
mundut,formal
néang,casual
milari,polite
nedunan,casual
nyaosan,polite
nyumponan,polite
nyaosan,formal
nembang,casual
nembang,polite
mamaos,formal
nénjo,casual
ningal,polite
ningali,formal
nepi,casual
dugi,polite
ngadagoan,casual
ngantosan,polite
ngadéngé,casual
nguping,polite
ngadangu,formal
ngadidik,casual
ngatik,polite
mitutur,formal
miwejang,formal
miwuruk,formal
ngawurukan,formal
ngadu,casual
ngadu,polite
ngaben,formal
ngageroan,casual
nyauran,polite
ngagentraan,formal
ngageuing,casual
ngageuing,polite
ngémutan,formal
ngagugu,casual
nurut,polite
tumut,formal
ngahadéan ngalusan,casual
nyaéan,polite
ngahadéan ngoméan,casual
ngalereskeun,polite
ngahadiran,casual
nungkulan,polite
ngaluuhan,formal
ngahalang halang,casual
magak,polite
ngahilian,casual
ngalironan,polite
ngagentosan,formal
ngais,casual
ngais,polite
ngemban,formal
ngajar,casual
ngajar,polite
ngawulang,formal
ngajawab,casual
ngawalon,polite
ngawaler,formal
ngaji,casual
ngaji,polite
ngaos,formal
ngajual,casual
ngical,polite
ngajugjug,casual
ngabujeng,polite
ngajuru,casual
ngalahirkeun,polite
babar,formal
ngaku,casual
ngaku,polite
ngangken,formal
ngalahun,casual
mangkon,polite
ngalusan,casual
ngalereskeun,polite
ngambeu,casual
ngambeu,polite
ngambung,formal
ngan,casual
mung,polite
namung,polite
nganjang,casual
ngadeuheus,polite
natamu,formal
nganteur,casual
ngajajapkeun,polite
nyarengan,formal
nyarengkeun,formal
nganti,casual
ngantos,polite
ngaran,casual
nami,polite
wasta,polite
jenengan,formal
kakasih,formal
ngaranyéd,casual
ngaranyéd,polite
ngalambang sari,formal
ngarep ngarep,casual
ngajeng ngajeng,polite
ngaroko,casual
ngaroko,polite
udud,polite
ngalelet,formal
nyesep,formal
ngaso,casual
ngaso,polite
leleson,formal
ngawaro,casual
tumut,polite
ngedeng,casual
ngedeng,polite
ébog,formal
ngéndahkeun,casual
ngéstokeun,polite
nurut,polite
ngéstokeun,formal
ngéndong,casual
mondok,polite
ngéndong,polite
kulem,formal
ngawengi,formal
ngéstukeun,casual
ngéstokeun,polite
nurut,polite
ngéstokeun,formal
tumut,formal
ngeunah,casual
raos,polite
ngeusian,casual
ngalebetan,polite
ngéwa,casual
ceuceub,polite
ngigel,casual
ngigel,polite
ngibing,formal
ngilikan,casual
ningalan,polite
ningalian,formal
ngilu,casual
ngiring,polite
ngimpi,casual
ngimpén,polite
nginjeum,casual
nambut,polite
nginum,casual
ngaleueut,polite
ngira,casual
nginten,polite
ngising,casual
miceun,polite
kabeuratan,formal
ngitung,casual
ngitung,polite
ngétang,formal
ngogan,casual
ngondang,polite
ngulem,formal
ngoméan,casual
ngalereskeun,polite
ngomong,casual
nyanggem,polite
nyarios,formal
ngora,casual
anom,polite
ngubur,casual
ngaluat,polite
ngurebkeun,formal
nguluwut,casual
nguluwut,polite
nguyung,polite
ngangluh,formal
ngumbah,casual
ngumbah,polite
ngawasuh,formal
nguruskeun,casual
ngalereskeun,polite
nguyung,casual
nguluwut,polite
nguyung,polite
ngangluh,formal
nimu,casual
mendak,polite
nincak,casual
nincak,polite
ngadampal,formal
nini,casual
pun nini,polite
tuang éyang,formal
nitah,casual
ngajurungan,polite
miwarangan,formal
nohonan,casual
nyaosan,polite
nyumponan,polite
nyaosan,formal
nu matak,casual
nu mawi,polite
nungkulan,casual
nungkulan,polite
ngaluuhan,formal
nurut,casual
ngéstokeun,polite
nurut,polite
ngéstokeun,formal
tumut,formal
nutu,casual
nutu,polite
meuseul,formal
nyaba,casual
nyaba,polite
angkat angkatan,formal
nyabak,casual
nyabak,polite
nyepeng,formal
nyaho,casual
terang,polite
uninga,formal
nyampak,casual
nyampak,polite
kasondong,formal
nyondong,formal
nyana,casual
nginten,polite
nyaneut,casual
ngaleueut,polite
nyangka,casual
nginten,polite
nyaram,casual
nyaram,polite
nyarék,polite
ngawagel,formal
nyarék,casual
nyaram,polite
nyarék,polite
ngawagel,formal
nyarékan,casual
nyarékan,polite
nyeuseulan,formal
nyaring,casual
nyaring,polite
teu acan mondok,polite
teu acan kulem,formal
nyarita,casual
nyanggem,polite
nyarios,formal
nyekel,casual
nyekel,polite
nyepeng,formal
nyéléhkeun,casual
masrahkeun,polite
ngahaturkeun,formal
nyanggakeun,formal
nyéléwer,casual
midua haté,polite
midua manah,formal
nyeluk,casual
nyauran,polite
ngagentraan,formal
nyepah,casual
nyeupah,polite
ngalemar,formal
nyerahkeun,casual
mirak,polite
mirak,formal
ngésér,formal
nyeri,casual
nyeri,polite
kasawat,formal
nyeupah,casual
nyeupah,polite
ngalemar,formal
nyiar,casual
milari,polite
nyician,casual
nyician,polite
mairan,formal
nyium,casual
nyium,polite
ngambung,formal
